,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,17088,22986,40075,2187,2141,4328,0,0,0,0.03617546444466035,0.04970577074549103,0.04286871439615723
1,Venda Nova,Carreira,583.47,30833,41561,72394,2190,2146,4336,0,0,0,0.06518204370019665,0.089661355588927,0.07729749649383487
2,Carreira,Baguim,786.02,41399,52301,93700,2190,2144,4334,0,0,0,0.08751849260412055,0.11293624075816115,0.10009247784691314
3,Baguim,Campainha,751.7,51338,59497,110836,2198,2147,4345,0,0,0,0.10813452183732052,0.12829687509854718,0.11809736935213148
4,Campainha,Rio Tinto,859.99,66485,72320,138805,2199,2149,4348,0,0,0,0.13997477038166006,0.1558003830317847,0.1477965830737295
5,Rio Tinto,Levada,452.83,74043,82488,156532,2197,2148,4345,0,0,0,0.15602918289355774,0.17778959793779667,0.1667866907221021
6,Levada,Nau Vitória,1111.62,97558,103876,201435,2205,2160,4365,0,0,0,0.20483515954564663,0.2226428539250077,0.2136472144962583
7,Nau Vitória,Nasoni,499.02,101734,106169,207903,2206,2160,4366,0,0,0,0.21350489654142682,0.22755804340062935,0.22045743827662548
8,Nasoni,Contumil,650.0,104162,107809,211972,2205,2160,4365,0,0,0,0.2186995890437833,0.23107376083178738,0.22482289054712554
9,Contumil,Estádio do Dragão,619.19,120353,125731,246084,2205,2160,4365,0,0,0,0.2526946100567595,0.26948580545888984,0.2610036552042055
10,Estádio do Dragão,Campanhã,1166.02,203249,197216,400465,3031,3022,6053,1834,1911,3745,0.18318511201116378,0.17504202325985388,0.17908233837189327
11,Campanhã,Heroismo,950.92,414639,381910,796549,3827,3797,7624,3429,3477,6906,0.24724700276900302,0.22699693680342747,0.23710562252125855
12,Heroismo,24 de Agosto,571.9,440103,407225,847328,3829,3796,7625,3429,3476,6905,0.262363470596037,0.24211025690843657,0.2522232146691191
13,24 de Agosto,Bolhão,680.44,557126,487308,1044435,3828,3798,7626,3428,3475,6903,0.3322176524042007,0.2896909967210775,0.3109215607214086
14,Bolhão,Trindade,451.8,651822,597642,1249464,3831,3801,7632,3430,3475,6905,0.3884206077887454,0.3551441053607257,0.3717591884319946
15,Trindade,Lapa,857.4300000000001,829313,857795,1687108,5150,5112,10262,3434,3481,6915,0.42225049299725287,0.43598676097728795,0.42912465045254217
16,Lapa,Carolina Michaelis,460.97,751684,860713,1612397,5146,5114,10260,3440,3481,6921,0.38260346234278075,0.4373739844100554,0.41001139721446117
17,Carolina Michaelis,Casa da Música,627.48,712721,821443,1534165,5143,5110,10253,3440,3482,6922,0.36289140270063924,0.4175496792922715,0.3902433980959615
18,Casa da Música,Francos,871.87,655551,684854,1340406,5142,5111,10253,3440,3482,6922,0.3338193148460752,0.348081616058839,0.3409572133102304
19,Francos,Ramalde,965.03,615440,640791,1256232,5141,5113,10254,3441,3482,6923,0.31338895058283994,0.3256148076443205,0.3195082846963986
20,Ramalde,Viso,621.15,586960,613370,1200330,5141,5115,10256,3442,3482,6924,0.29884858780391294,0.31161223124118304,0.3052373943220106
21,Viso,Sete Bicas,743.81,557924,578979,1136903,5143,5118,10261,3442,3484,6926,0.28400258256925226,0.29396960911162456,0.2889924499711118
