,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,641,1076,1718,91,98,189,0,0,0,0.0326617826616639,0.05087771585868112,0.04210708135641357
4,Venda Nova,Carreira,583.47,1249,1959,3208,91,96,187,0,0,0,0.06357487817765446,0.09448015845751752,0.07944069051384085
5,Carreira,Baguim,786.02,1610,2400,4010,91,93,184,0,0,0,0.08191537141179421,0.11948007268916966,0.10090187803568507
6,Baguim,Campainha,751.7,1920,2734,4654,91,92,183,0,0,0,0.09768333098533047,0.13758803807292702,0.11774471378346643
7,Campainha,Rio Tinto,859.99,2493,3473,5967,91,92,183,0,0,0,0.1268761956727128,0.17480771256750485,0.15097291454878312
8,Rio Tinto,Levada,452.83,2897,4036,6934,91,92,183,0,0,0,0.14740436627780615,0.20313826387139935,0.17542359348332842
9,Levada,Nau Vitória,1111.62,3853,5103,8957,91,92,183,0,0,0,0.19603632677472047,0.25683488541745547,0.2266017223765326
10,Nau Vitória,Nasoni,499.02,4195,5263,9458,91,91,182,0,0,0,0.21342698399783222,0.2677677400940744,0.2405973620459533
11,Nasoni,Contumil,650.0,4282,5343,9625,87,82,169,0,0,0,0.22786514918116454,0.301691099423767,0.26368602444680594
12,Contumil,Estádio do Dragão,619.19,5159,6543,11702,92,89,181,0,0,0,0.25964318198531133,0.3403728985958457,0.2993390094899387
13,Estádio do Dragão,Campanhã,1166.02,9496,11498,20995,182,182,364,93,91,184,0.15225093553057087,0.18581580287392618,0.16896637777244916
14,Campanhã,Heroismo,950.92,17997,22083,40081,178,182,360,214,224,438,0.19665609545817436,0.23279102492151837,0.21504771678087728
15,Heroismo,24 de Agosto,571.9,19994,23643,43637,174,183,357,231,211,442,0.210747851617844,0.25739527596186557,0.23369484302001423
16,24 de Agosto,Bolhão,680.44,28083,28455,56539,182,183,365,231,216,447,0.2907186034478029,0.30566180309218294,0.29805219041902636
17,Bolhão,Trindade,451.8,34708,36431,71139,184,185,369,231,209,440,0.35769735341542797,0.39688787223772776,0.3767488304720338
18,Trindade,Lapa,857.4300000000001,46697,51298,97995,332,315,647,231,208,439,0.36199560402574044,0.42882877051746165,0.3941519956388014
19,Lapa,Carolina Michaelis,460.97,42494,51055,93550,334,314,648,231,208,439,0.32831818507861565,0.4275728456543708,0.37594638195222835
20,Carolina Michaelis,Casa da Música,627.48,40748,48460,89208,335,313,648,231,206,437,0.31430119892565467,0.4082700561457982,0.3592136086339712
21,Casa da Música,Francos,871.87,38027,40208,78235,342,324,666,232,206,438,0.2893842124868103,0.3321042083634829,0.3098697770494708
22,Francos,Ramalde,965.03,35709,37282,72992,333,332,665,233,206,439,0.27530197828097863,0.30360455840943695,0.28906590569739715
23,Ramalde,Viso,621.15,34038,35951,69990,333,348,681,225,206,431,0.26649520292729423,0.2847527932374897,0.27557109086592046
24,Viso,Sete Bicas,743.81,32595,34395,66991,333,336,669,224,206,430,0.255692546573152,0.278139252783627,0.26674536677515637
25,Sete Bicas,Sra da Hora,674.5,28577,32194,60772,332,334,666,213,210,423,0.2294745308343468,0.25916417303399186,0.2443007332487571
26,Sra da Hora,Vasco da Gama,824.48,9837,10889,20727,185,184,369,0,0,0,0.2461921605629306,0.2739873349354313,0.26005208491127785
27,Vasco da Gama,Estádio do Mar,661.6,9316,10878,20195,190,185,375,0,0,0,0.22701546996691743,0.27223611998634795,0.24932432397650314
28,Estádio do Mar,Pedro Hispano,786.97,9046,10347,19393,184,185,369,0,0,0,0.22761246766197493,0.25895286778848353,0.2433251343920673
29,Pedro Hispano,Parque de Real,656.68,8156,9531,17687,186,184,370,0,0,0,0.20302423581950527,0.23981000632377483,0.22131770007027718
30,Parque de Real,C. Matosinhos,723.67,7762,9089,16852,186,184,370,0,0,0,0.193220315205709,0.22869656637169916,0.210862559028796
31,C. Matosinhos,Matosinhos Sul,616.61,6010,6669,12680,186,184,370,0,0,0,0.14960911684416733,0.16781180751360042,0.15866126571761513
32,Matosinhos Sul,Brito Capelo,535.72,2880,3371,6252,184,183,367,0,0,0,0.07248543998083966,0.08529007077925511,0.07887031037895963
33,Brito Capelo,Mercado,487.53,1459,1845,3304,184,184,368,0,0,0,0.03671586333933391,0.046425743120785685,0.041570803230059794
34,Mercado,Sr. de Matosinhos,708.96,365,468,833,185,184,369,0,0,0,0.009157751028064794,0.011775362318844374,0.01046300977468659
35,Sra da Hora,Fonte do Cuco,687.03,11492,16935,28428,145,149,294,93,95,188,0.2113269770823401,0.30381212150403564,0.25814061113220027
36,Fonte do Cuco,Custoias,689.2,10862,16660,27523,130,149,279,93,91,184,0.2123847104559589,0.3042984408779405,0.2599073795658812
37,Custoias,Esposade,1779.24,10500,16410,26910,130,149,279,94,91,185,0.20432103916230218,0.2997198486116112,0.25353037379231963
38,Esposade,Crestins,2035.56,10385,16335,26720,130,134,264,100,91,191,0.1963936071537117,0.3171182157387324,0.2559648964999412
39,Crestins,Verdes,591.8199999999999,10313,16304,26617,130,132,262,93,91,184,0.20165557923026833,0.3191859991811594,0.26038399771410303
40,Verdes,Pedras Rubras,960.78,7764,9312,17076,0,0,0,93,91,184,0.3366399631541682,0.41264096127450123,0.37422741331150683
41,Pedras Rubras,Lidador,1147.58,6962,8639,15601,0,0,0,93,91,184,0.3018682026676539,0.382802701424306,0.34189559063969377
42,Lidador,Vilar do Pinheiro,1987.51,6736,8388,15125,0,0,0,93,91,184,0.29208195656249686,0.37171477200471,0.3314655772431566
43,Vilar do Pinheiro,Modivas Sul,2037.38,6596,8255,14851,0,0,0,93,99,192,0.28600482482473577,0.3362376386313804,0.31190611944378693
44,Modivas Sul,Modivas Centro,1051.08,6570,8193,14764,0,0,0,93,94,187,0.2848818172216488,0.35148373736156613,0.31836085729198155
45,Modivas Centro,Modivas Norte,852.51,6592,8210,14802,0,0,0,93,91,184,0.28584343502677545,0.3638010615532002,0.32439856553712687
46,Modivas Norte,Mindelo,1834.12,5827,7762,13590,0,0,0,93,91,184,0.2526763741985665,0.3439593102550272,0.2978217393134465
47,Mindelo,Espaço Natureza,776.86,5535,7271,12807,0,0,0,93,90,183,0.24000466822987204,0.3257920534458997,0.2821951855492299
