,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,121,441,563,46,46,92,0,0,0,0.012278582930733613,0.044456065182189634,0.028367324056461623
1,Venda Nova,Carreira,583.47,223,863,1086,46,44,90,0,0,0,0.0224558005199397,0.09082911451349635,0.05588275402790073
2,Carreira,Baguim,786.02,265,1071,1336,46,44,90,0,0,0,0.026711298206170735,0.11274762195375682,0.06877350092721282
3,Baguim,Campainha,751.7,319,1208,1527,46,44,90,0,0,0,0.032110796130068696,0.12719955139921663,0.0785986320394299
4,Campainha,Rio Tinto,859.99,392,1567,1960,46,44,90,0,0,0,0.039532133425867755,0.16495937561063193,0.10085211849397469
5,Rio Tinto,Levada,452.83,461,1777,2238,46,44,90,0,0,0,0.0464567763704053,0.18700449341129557,0.1151689935903961
6,Levada,Nau Vitória,1111.62,1006,2216,3223,46,44,90,0,0,0,0.10134608909859867,0.2332478837299884,0.1658314109183892
7,Nau Vitória,Nasoni,499.02,1009,2247,3257,46,45,91,0,0,0,0.10156935822810685,0.23127212627361196,0.1657080896791808
8,Nasoni,Contumil,650.0,1023,2282,3306,46,45,91,0,0,0,0.10302871385485016,0.23480784622419384,0.16819421887265748
9,Contumil,Estádio do Dragão,619.19,1140,2689,3830,46,45,91,0,0,0,0.11483463496946689,0.27667082923642705,0.19486352224433728
10,Estádio do Dragão,Campanhã,1166.02,2547,4006,6553,92,90,182,46,46,92,0.08142752482036224,0.12987861946564114,0.10548462254791767
11,Campanhã,Heroismo,950.92,6291,6824,13115,92,91,183,92,109,201,0.14737357274784768,0.14616981147552147,0.14674475509789284
12,Heroismo,24 de Agosto,571.9,6471,7381,13853,90,91,181,92,101,193,0.15314828208776315,0.16512569436337188,0.15930557553726654
13,24 de Agosto,Bolhão,680.44,8164,9084,17249,91,91,182,92,91,183,0.19222771509068962,0.21515652177979905,0.2036585492934968
14,Bolhão,Trindade,451.8,9960,10272,20233,92,91,183,92,91,183,0.2333429992247872,0.24328844593500046,0.2382885492282266
15,Trindade,Lapa,857.4300000000001,14947,14501,29449,138,137,275,92,91,183,0.28404106674838864,0.27802549032275486,0.2810465974939122
16,Lapa,Carolina Michaelis,460.97,13591,14581,28172,138,138,276,92,91,183,0.25826676214721317,0.27840880840177634,0.2683139984770132
17,Carolina Michaelis,Casa da Música,627.48,13029,14015,27044,138,130,268,92,91,183,0.24759953029929666,0.2767183021785354,0.26188033785739256
18,Casa da Música,Francos,871.87,11701,11416,23118,139,137,276,99,91,190,0.21441559878492858,0.21888234077264698,0.2165984167852227
19,Francos,Ramalde,965.03,10876,10648,21525,139,142,281,91,91,182,0.2068179604782494,0.20000149616852517,0.20338886001856124
20,Ramalde,Viso,621.15,10029,10525,20555,139,136,275,91,91,182,0.19071082895779728,0.20263002811142103,0.19663348604086753
21,Viso,Sete Bicas,743.81,9530,10099,19630,139,136,275,91,91,182,0.18122441630339814,0.19443180495728624,0.18778717550824203
22,Sete Bicas,Sra da Hora,674.5,9307,7232,16540,145,137,282,91,95,186,0.17272823360246264,0.13607619751377165,0.1545282240528914
23,Sra da Hora,Vasco da Gama,824.48,2634,2738,5372,92,91,183,0,0,0,0.1325638892883501,0.13929984342216384,0.13591346210898972
24,Vasco da Gama,Estádio do Mar,661.6,2264,2789,5053,92,85,177,0,0,0,0.11393511545614293,0.15192036777597723,0.1321766208074758
25,Estádio do Mar,Pedro Hispano,786.97,2168,2713,4881,92,89,181,0,0,0,0.10913822042183131,0.14112727494412833,0.12486764502119284
26,Pedro Hispano,Parque de Real,656.68,1935,2622,4557,92,90,182,0,0,0,0.09740862766230271,0.1348883346079682,0.11594254867939004
27,Parque de Real,C. Matosinhos,723.67,1746,2416,4163,91,91,182,0,0,0,0.08887486091854661,0.12295350872444448,0.10591418482149556
28,C. Matosinhos,Matosinhos Sul,616.61,1302,1947,3250,94,90,184,0,0,0,0.06415580682514628,0.10019770953611364,0.08178499836855423
29,Matosinhos Sul,Brito Capelo,535.72,660,780,1441,91,90,181,0,0,0,0.03360622407928847,0.04016407172056152,0.036867032298706005
30,Brito Capelo,Mercado,487.53,371,446,817,91,90,181,0,0,0,0.018876264499691146,0.022962443977926482,0.020908066450194905
31,Mercado,Sr. de Matosinhos,708.96,77,99,176,90,90,180,0,0,0,0.00400397273362353,0.0050925925926778625,0.0045482826631506965
33,Fonte do Cuco,Custoias,689.2,3646,3539,7185,47,46,93,46,46,92,0.16911772063267425,0.16580980306229823,0.16747208869574282
34,Custoias,Esposade,1779.24,3538,3466,7005,46,46,92,46,46,92,0.16580581129499475,0.16241063169098421,0.16410822149298948
35,Esposade,Crestins,2035.56,3448,3453,6902,46,46,92,57,46,103,0.14325164250066155,0.1618105177879034,0.15197369275015268
36,Crestins,Verdes,591.8199999999999,3420,3405,6825,46,46,92,47,46,93,0.15842416071154147,0.159530536270097,0.15897415325676714
37,Verdes,Pedras Rubras,960.78,2522,1481,4003,0,0,0,46,46,92,0.22109971053191577,0.12987857795528496,0.17548914424360038
38,Pedras Rubras,Lidador,1147.58,2254,1361,3615,0,0,0,46,46,92,0.1976054634115015,0.11930737709212069,0.1584564202518111
39,Lidador,Vilar do Pinheiro,1987.51,2184,1331,3515,0,0,0,46,46,92,0.19144649046104428,0.11669364716748565,0.15407006881426497
40,Vilar do Pinheiro,Modivas Sul,2037.38,2116,1315,3431,0,0,0,46,46,92,0.18549242033935157,0.11534378918218098,0.15041810476076628
41,Modivas Sul,Modivas Centro,1051.08,2080,1313,3393,0,0,0,46,46,92,0.18233563567793382,0.11513948767034278,0.1487375616741383
42,Modivas Centro,Modivas Norte,852.51,2034,1300,3335,0,0,0,46,46,92,0.17835302006419054,0.11399481801221019,0.14617391903820037
43,Modivas Norte,Mindelo,1834.12,1954,999,2954,0,0,0,46,46,92,0.17129556461948736,0.08765537374705765,0.1294754691832725
44,Mindelo,Espaço Natureza,776.86,1845,1011,2857,0,0,0,46,46,92,0.16181122566165887,0.08869111327278723,0.12525116946722303
45,Espaço Natureza,Varziela,1539.0,1831,1008,2840,0,0,0,46,46,92,0.16055356193130915,0.08844630763760457,0.12449993478445685
46,Varziela,Árvore,858.71,1709,1018,2728,0,0,0,46,35,81,0.14985030081272924,0.11736404018597311,0.13581302770240253
47,Árvore,Azurara,664.57,1686,983,2670,0,0,0,46,23,69,0.14785538474526985,0.17243054855368745,0.1560471060147424
48,Azurara,Santa Clara,1218.09,1654,986,2641,0,0,0,46,45,91,0.1450687252844223,0.08842259655105046,0.11705690338330436
49,Santa Clara,Vila do Conde,670.57,1607,937,2545,0,0,0,46,46,92,0.14091288878690025,0.08220649643338142,0.11155969261014083
50,Vila do Conde,Alto de Pega,730.41,1284,619,1903,0,0,0,46,46,92,0.11259929808928693,0.0542821399126777,0.08344071900098231
51,Alto de Pega,Portas Fronhas,671.05,1242,432,1675,0,0,0,50,46,96,0.10020173362595437,0.03793545713615071,0.07036580947459012
