,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,19849,27223,47073,2630,2595,5225,0,0,0,0.034942261653161555,0.04856887976909877,0.041709931320311235
1,Venda Nova,Carreira,583.47,35850,49108,84958,2631,2594,5225,0,0,0,0.0630833703304856,0.08764696312400282,0.07527819515467385
2,Carreira,Baguim,786.02,48091,61578,109670,2631,2593,5224,0,0,0,0.08462395867012694,0.1099446457270754,0.09719220934751349
3,Baguim,Campainha,751.7,59638,70022,129660,2633,2593,5226,0,0,0,0.10486247649697464,0.1250204967448149,0.11486434149939519
4,Campainha,Rio Tinto,859.99,77264,84833,162097,2633,2593,5226,0,0,0,0.13585436867799902,0.1514642258865454,0.14359955806601293
5,Rio Tinto,Levada,452.83,86568,97104,183672,2633,2593,5226,0,0,0,0.15221415272264574,0.1733730772936889,0.16271263940705347
6,Levada,Nau Vitória,1111.62,113025,121327,234353,2634,2595,5229,0,0,0,0.1986576370820562,0.21645612481308404,0.20749050678219336
7,Nau Vitória,Nasoni,499.02,118095,124077,242172,2630,2591,5221,0,0,0,0.20788489907344954,0.22170324308604564,0.21474246071616868
8,Nasoni,Contumil,650.0,120898,125953,246852,2629,2590,5219,0,0,0,0.21290115826789613,0.2251422316600325,0.218975958054375
9,Contumil,Estádio do Dragão,619.19,139691,146553,286244,2629,2590,5219,0,0,0,0.24599438220596134,0.26196428324969073,0.2539196636206498
10,Estádio do Dragão,Campanhã,1166.02,239815,233302,473117,3595,3601,7196,2147,2242,4389,0.18320837983123692,0.17491131207840788,0.17902082838032127
11,Campanhã,Heroismo,950.92,490571,450609,941181,4525,4507,9032,3999,4045,8044,0.24912854205216975,0.22796374220899623,0.23852597406241513
12,Heroismo,24 de Agosto,571.9,520075,479957,1000033,4524,4509,9033,4004,4044,8048,0.26397423710850043,0.24278819471958335,0.2533632881694533
13,24 de Agosto,Bolhão,680.44,656344,574963,1231307,4523,4509,9032,4004,4045,8049,0.3331763880520689,0.29081104067023156,0.3119553747191156
14,Bolhão,Trindade,451.8,766445,703645,1470091,4524,4511,9035,4005,4045,8050,0.3889751242496157,0.3558194488188619,0.37236742260911504
15,Trindade,Lapa,857.4300000000001,981560,1020769,2002329,6320,6300,12620,4006,4049,8055,0.4161608875387392,0.43162360643756087,0.42390263062768185
16,Lapa,Carolina Michaelis,460.97,892295,1023316,1915612,6321,6300,12621,4007,4051,8058,0.37824003277600216,0.4326101133953417,0.40546176079511426
17,Carolina Michaelis,Casa da Música,627.48,846444,977075,1823519,6321,6301,12622,4005,4051,8056,0.3588795394378663,0.41302370028165375,0.3859922373783514
18,Casa da Música,Francos,871.87,778478,820489,1598967,6320,6301,12621,4009,4051,8060,0.32995437755554846,0.346832531639618,0.3384047280947078
19,Francos,Ramalde,965.03,728879,765573,1494453,6320,6304,12624,4009,4051,8060,0.3089322703299027,0.3235302607009937,0.3162420155405223
20,Ramalde,Viso,621.15,695719,734516,1430236,6320,6305,12625,4009,4051,8060,0.294877395144398,0.31037725333478844,0.3026390920989521
21,Viso,Sete Bicas,743.81,663259,696532,1359792,6320,6305,12625,4009,4051,8060,0.2811195298180256,0.29432696298090755,0.2877332737954623
22,Sete Bicas,Sra da Hora,674.5,588395,627061,1215457,6319,6307,12626,4009,4050,8059,0.24941152599702202,0.264950508122249,0.25719347231936673
23,Sra da Hora,Vasco da Gama,824.48,198460,206373,404834,3569,3584,7153,0,0,0,0.2574388237732612,0.2665833080835139,0.2620206540218206
24,Vasco da Gama,Estádio do Mar,661.6,190272,196221,386494,3571,3590,7161,0,0,0,0.24667967940237515,0.25304574271430613,0.24987115647119687
25,Estádio do Mar,Pedro Hispano,786.97,180258,188927,369186,3570,3591,7161,0,0,0,0.2337625310802072,0.243570797557912,0.23868104594146095
26,Pedro Hispano,Parque de Real,656.68,164486,174566,339052,3568,3591,7159,0,0,0,0.21342796464545483,0.2250561556239045,0.219260739307225
27,Parque de Real,C. Matosinhos,723.67,154774,164573,319348,3566,3592,7158,0,0,0,0.2009394935499951,0.2121141307708995,0.2065471069751821
28,C. Matosinhos,Matosinhos Sul,616.61,113602,122624,236226,3563,3589,7152,0,0,0,0.14761141548879833,0.15817882160263305,0.15291432663848414
29,Matosinhos Sul,Brito Capelo,535.72,54602,63459,118061,3561,3590,7151,0,0,0,0.07098845875372356,0.0818364001753683,0.07643442570991214
30,Brito Capelo,Mercado,487.53,27522,36778,64300,3576,3602,7178,0,0,0,0.03563112991867826,0.04727063873538352,0.0414719645185351
31,Mercado,Sr. de Matosinhos,708.96,6649,8885,15535,3557,3583,7140,0,0,0,0.008655219319141275,0.011481688219048351,0.0100736000009854
33,Fonte do Cuco,Custoias,689.2,223098,273072,496170,1814,1784,3598,2146,2170,4316,0.24144045016581667,0.29569140239093045,0.2685581741959311
34,Custoias,Esposade,1779.24,217067,267788,484856,1815,1783,3598,2146,2170,4316,0.23485855576126344,0.2900382849845773,0.2624340843762052
35,Esposade,Crestins,2035.56,214251,265018,479270,1815,1783,3598,2145,2170,4315,0.23187400184382842,0.2870377751219328,0.25944525759950615
36,Crestins,Verdes,591.8199999999999,211303,261075,472378,1815,1785,3600,2146,2170,4316,0.22862173631403634,0.28263459734800583,0.2556204505744014
37,Verdes,Pedras Rubras,960.78,166779,179676,346455,0,0,0,2146,2170,4316,0.3133724506866955,0.3338713404278829,0.3236788896900265
38,Pedras Rubras,Lidador,1147.58,151625,160982,312608,0,0,0,2147,2170,4317,0.2847660261361047,0.2991357793530103,0.2919891821427494
39,Lidador,Vilar do Pinheiro,1987.51,146683,155881,302564,0,0,0,2147,2170,4317,0.27548517012637475,0.2896558777041727,0.2826082730783835
40,Vilar do Pinheiro,Modivas Sul,2037.38,143293,151888,295181,0,0,0,2147,2170,4317,0.2691187626027088,0.2822359408237621,0.2757122943932313
41,Modivas Sul,Modivas Centro,1051.08,142375,150779,293155,0,0,0,2146,2170,4316,0.26751909285519,0.2801766504128642,0.27388306410175006
42,Modivas Centro,Modivas Norte,852.51,141635,150009,291644,0,0,0,2144,2168,4312,0.2663756954563434,0.2790021121189049,0.2727240422384476
43,Modivas Norte,Mindelo,1834.12,128927,138332,267259,0,0,0,2145,2168,4313,0.24236287665026654,0.25728434519667787,0.24986339689339654
44,Mindelo,Espaço Natureza,776.86,122356,131073,253429,0,0,0,2141,2166,4307,0.2304406176279915,0.24400780752973747,0.23726358798489464
45,Espaço Natureza,Varziela,1539.0,121076,129870,250947,0,0,0,2143,2166,4309,0.22781743448456881,0.24176931876231136,0.23483061186808943
46,Varziela,Árvore,858.71,113749,121266,235016,0,0,0,2143,2168,4311,0.21402970709791813,0.22554405330444888,0.21982026673042998
47,Árvore,Azurara,664.57,113730,120707,234438,0,0,0,2141,2167,4308,0.2141954572317434,0.22460741997090203,0.2194328581731911
48,Azurara,Santa Clara,1218.09,112598,119416,232014,0,0,0,2139,2166,4305,0.21226013448876035,0.22230823361970167,0.21731569377276008
49,Santa Clara,Vila do Conde,670.57,109358,115748,225107,0,0,0,2142,2169,4311,0.20586483830501667,0.21518083988293904,0.21055201237658094
50,Vila do Conde,Alto de Pega,730.41,78623,83853,162477,0,0,0,2140,2165,4305,0.14814506800803712,0.15617545777618044,0.1521835799355703
51,Alto de Pega,Portas Fronhas,671.05,74351,79393,153745,0,0,0,2142,2167,4309,0.1399652062735171,0.1477320394540752,0.14387115370964368
52,Portas Fronhas,São Brás,562.21,58165,62420,120586,0,0,0,2138,2166,4304,0.10970025158735013,0.11620274887969963,0.1129726514793643
53,São Brás,Póvoa de Varzim,624.94,55198,59325,114523,0,0,0,2136,2163,4299,0.10420072408446225,0.11059348575008605,0.10741717988412364
55,Fonte do Cuco,Cândido dos Reis,913.51,173927,179522,353450,926,880,1806,1871,1817,3688,0.2619289293733232,0.2801998272208541,0.2709010392262584
56,Cândido dos Reis,Pias,916.73,167016,173705,340722,926,880,1806,1871,1817,3688,0.2515217791471903,0.27112073225592204,0.26114604401701064
57,Pias,Araújo,1258.13,162331,168420,330751,926,880,1806,1871,1817,3688,0.24446560806451273,0.26287144436404397,0.25350398081404096
58,Araújo,Custió,651.69,158257,162479,320736,924,880,1804,1867,1815,3682,0.2388428899660941,0.2537948094785165,0.24619031003966857
59,Custió,Parque de Maia,1418.51,151303,155281,306584,924,880,1804,1867,1815,3682,0.2283475344797566,0.24255139760736472,0.23532735730313292
60,Parque de Maia,Forum,824.81,133892,134978,268871,924,882,1806,1864,1814,3678,0.2022989501330278,0.2107781294201603,0.20646863525144762
61,Forum,Zona Industrial,1119.4,70029,72757,142786,542,454,996,1122,1089,2211,0.17714198541683368,0.197638132434666,0.1870250572821171
62,Zona Industrial,Mandim,1194.23,64962,67138,132100,542,454,996,1122,1090,2212,0.16432519206968935,0.18225048594169208,0.17297163399772483
63,Mandim,Castêlo da Maia,1468.1,60316,62052,122369,540,456,996,1122,1090,2212,0.15274096237852056,0.1682475398500525,0.16022948406829435
64,Castêlo da Maia,ISMAI,702.48,42274,42106,84380,540,456,996,1123,1090,2213,0.10698440033924951,0.1141653290533276,0.11045112818443961
65,Santo Ovídio,D. João II,463.71,202438,143858,346297,7058,7096,14154,0,0,0,0.13278798421462276,0.09385758617451907,0.11327052593480251
66,D. João II,João de Deus,716.25,287745,219432,507178,7058,7102,14160,0,0,0,0.18874430653391422,0.14304266523113807,0.16582248050762072
67,João de Deus,C.M.Gaia,405.01,438599,350477,789076,7056,7106,14162,0,0,0,0.2877770552551589,0.22833933580040086,0.2579532708712082
68,C.M.Gaia,General Torres,488.39,499235,401138,900373,7053,7108,14161,0,0,0,0.32770102355622005,0.2612718674706051,0.2943574431977319
69,General Torres,Jardim do Morro,419.98,562681,458806,1021488,7053,7109,14162,0,0,0,0.36934732934366576,0.2987909352742865,0.33392963371880935
70,Jardim do Morro,São Bento,795.7,584770,489558,1074329,7052,7110,14162,0,0,0,0.38390098231530817,0.31877310487197863,0.3512036790656208
71,São Bento,Aliados,443.38,690173,633311,1323485,7054,7112,14166,0,0,0,0.45296966620373413,0.41226089857198456,0.4325319452241349
72,Aliados,Trindade,450.27,730222,673920,1404142,7050,7112,14162,0,0,0,0.479526353956331,0.43869532852220816,0.45902146390637466
73,Trindade,Faria Guimaraes,555.34,621040,610385,1231426,7099,7054,14153,0,0,0,0.40501332751970626,0.40060365210482174,0.402815500177334
74,Faria Guimaraes,Marques,621.04,590668,584579,1175248,7099,7055,14154,0,0,0,0.38520607145482505,0.3836124457617359,0.384411735629988
75,Marques,Combatentes,702.75,488717,474682,963399,7097,7054,14151,0,0,0,0.3188079277144535,0.31154020959233797,0.31518511069562777
76,Combatentes,Salgueiros,471.25,440701,425836,866537,7096,7054,14150,0,0,0,0.28752599687020236,0.27948160279487183,0.28351573850925665
77,Salgueiros,Polo Universitario,775.36,405914,393041,798955,7093,7054,14147,0,0,0,0.26494187715281853,0.25795779547696307,0.26145946306209367
78,Polo Universitario,I.P.O.,827.64,303445,305564,609010,7013,7031,14044,0,0,0,0.20031941536104975,0.20120205483337705,0.20076130073059784
79,I.P.O.,Hospital São João,351.77,130906,157381,288288,7019,7031,14050,0,0,0,0.08634421189984393,0.10362969284117517,0.09499433407055567
80,Verdes (E) ,Botica,683.54,46395,83952,130347,1815,1785,3600,0,0,0,0.11834324336725469,0.21774050228028755,0.16762771757830014
81,Botica,Aeroporto,649.66,40166,76404,116571,1817,1787,3604,0,0,0,0.10234346651654211,0.1979445169847742,0.1497460961466006
