,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,913,721,1635,95,137,232,0,0,0,0.04454191033129483,0.024379137963672536,0.032635445614207524
4,Venda Nova,Carreira,583.47,1632,1233,2866,95,135,230,0,0,0,0.07957609632595518,0.042315447390483985,0.05770571542904818
5,Carreira,Baguim,786.02,2127,1491,3619,94,136,230,0,0,0,0.1048030092467911,0.050761449505094064,0.07284800000822242
6,Baguim,Campainha,751.7,2685,1672,4358,94,128,222,0,0,0,0.13227996546212037,0.06049243730212154,0.09088895823473367
7,Campainha,Rio Tinto,859.99,3493,2082,5576,94,106,200,0,0,0,0.1720734061455318,0.09094269724581375,0.1290741304286812
8,Rio Tinto,Levada,452.83,3937,2384,6321,94,106,200,0,0,0,0.19391748662347555,0.10414969718846659,0.1463405582229208
9,Levada,Nau Vitória,1111.62,4972,3207,8179,94,106,200,0,0,0,0.24491198903846068,0.1400697586505536,0.18934560693286992
10,Nau Vitória,Nasoni,499.02,5170,3285,8455,93,104,197,0,0,0,0.25737001401994447,0.14627035788987705,0.19871841890559414
11,Nasoni,Contumil,650.0,5311,3336,8647,96,108,204,0,0,0,0.2561578243040013,0.14300623704977966,0.19625404281647219
12,Contumil,Estádio do Dragão,619.19,6180,4205,10386,89,117,206,0,0,0,0.3215198861708564,0.1664162830421278,0.23342706303463676
13,Estádio do Dragão,Campanhã,1166.02,10849,7748,18597,166,183,349,98,130,228,0.1803414608906205,0.10795938446591487,0.14096606779098833
14,Campanhã,Heroismo,950.92,22442,14608,37051,164,222,386,217,243,460,0.25148797283640634,0.1349968158447863,0.18764485312869852
15,Heroismo,24 de Agosto,571.9,24115,15848,39963,144,218,362,217,246,463,0.283974439770102,0.1466162297171139,0.2070488321837475
16,24 de Agosto,Bolhão,680.44,30853,19637,50491,170,216,386,217,233,450,0.34078959505533196,0.18802978434286718,0.25896293623163147
17,Bolhão,Trindade,451.8,34453,27531,61985,172,216,388,217,233,450,0.3787407366522508,0.26361520967450286,0.31720942760883397
18,Trindade,Lapa,857.4300000000001,39277,40060,79337,308,322,630,217,232,449,0.32637922562024024,0.31521504902183806,0.3206449920710723
19,Lapa,Carolina Michaelis,460.97,37020,39867,76888,308,320,628,217,227,444,0.3076219821144018,0.31788507009444794,0.3128594310161981
20,Carolina Michaelis,Casa da Música,627.48,35064,37497,72561,305,322,627,217,209,426,0.292949327561481,0.30891230461709984,0.30098670107616177
21,Casa da Música,Francos,871.87,29906,31444,61350,313,307,620,217,207,424,0.2462949272956171,0.26727539495630814,0.2566194741239574
22,Francos,Ramalde,965.03,27901,29338,57240,324,322,646,220,207,427,0.22403067154219472,0.24269328898565357,0.23322297938104564
23,Ramalde,Viso,621.15,27230,27739,54970,328,327,655,228,207,435,0.2137545642158872,0.22743420424067493,0.22044560662262166
24,Viso,Sete Bicas,743.81,25868,26139,52008,336,320,656,219,207,426,0.20386778305137274,0.21700577510263327,0.21026595713494314
25,Sete Bicas,Sra da Hora,674.5,22033,25332,47365,349,318,667,207,201,408,0.17387461197594983,0.21370957092100742,0.1931274608094599
26,Sra da Hora,Vasco da Gama,824.48,10491,8607,19099,178,151,329,0,0,0,0.2728780027536965,0.263917204036759,0.2687652957437951
27,Vasco da Gama,Estádio do Mar,661.6,10605,8295,18901,177,147,324,0,0,0,0.2774083280213372,0.2612552690019187,0.2700796253180825
28,Estádio do Mar,Pedro Hispano,786.97,10378,8159,18537,189,151,340,0,0,0,0.25421888055383896,0.2501690591727477,0.25242028341106015
