,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,3508,667,4176,215,117,332,0,0,0,0.07555986218751969,0.02640269605498168,0.05823640303840237
1,Venda Nova,Carreira,583.47,6142,1082,7224,215,113,328,0,0,0,0.13225949153431557,0.04433474230555211,0.10196834317196718
2,Carreira,Baguim,786.02,8537,1243,9780,182,83,265,0,0,0,0.21717136437748524,0.06935810759906724,0.17087513678273544
3,Baguim,Campainha,751.7,10368,1288,11657,182,101,283,0,0,0,0.2637521671762982,0.05907425079726417,0.19070457157812704
4,Campainha,Rio Tinto,859.99,12717,1633,14350,182,109,291,0,0,0,0.3234914331077452,0.0693671416568031,0.22830398373265004
5,Rio Tinto,Levada,452.83,13768,1918,15686,182,111,293,0,0,0,0.35022667480563136,0.07999792371497096,0.24785332541633678
6,Levada,Nau Vitória,1111.62,16843,2286,19130,182,113,295,0,0,0,0.4284668984796394,0.09367393864434878,0.300224171491884
7,Nau Vitória,Nasoni,499.02,17375,2297,19672,180,115,295,0,0,0,0.4468960107579381,0.09249411558196165,0.30873933975713375
8,Nasoni,Contumil,650.0,17620,2332,19952,153,145,298,0,0,0,0.5331772982745997,0.0744601043558316,0.3099759790859374
9,Contumil,Estádio do Dragão,619.19,19498,2936,22434,141,147,288,0,0,0,0.6402127567841331,0.09247362131382177,0.360637573054495
10,Estádio do Dragão,Campanhã,1166.02,26342,6365,32708,204,156,360,148,126,274,0.3261519272163935,0.09801915771657466,0.22447289884264096
11,Campanhã,Heroismo,950.92,51583,14212,65795,295,206,501,273,228,501,0.39249917568145964,0.1406579108087675,0.2830368873153607
12,Heroismo,24 de Agosto,571.9,53529,15961,69490,283,214,497,273,216,489,0.41549875349534526,0.15994329844885916,0.30395145325565504
13,24 de Agosto,Bolhão,680.44,61330,21008,82338,263,218,481,273,234,507,0.4925671176627124,0.19984845917226224,0.35856756454940014
14,Bolhão,Trindade,451.8,60442,28875,89318,263,223,486,273,243,516,0.4854362427331838,0.2662995897253821,0.38343135933227224
15,Trindade,Lapa,857.4300000000001,59876,56419,116295,305,291,596,268,249,517,0.4524274361261414,0.4527719037942042,0.4525944845522364
16,Lapa,Carolina Michaelis,460.97,54957,58191,113149,311,279,590,255,249,504,0.42140355417126374,0.4769155676097748,0.44823594400976824
17,Carolina Michaelis,Casa da Música,627.48,49904,59610,109514,309,293,602,238,247,485,0.3967960413673104,0.47862715183178356,0.43751152373206853
18,Casa da Música,Francos,871.87,41549,61715,103265,297,312,609,236,237,473,0.33868523203615486,0.48915312769671754,0.41497370314985427
19,Francos,Ramalde,965.03,37488,61317,98805,287,317,604,242,231,473,0.3072591464832162,0.48757348058335875,0.39878158140796
20,Ramalde,Viso,621.15,36184,59427,95611,285,327,612,219,231,450,0.3122803174585451,0.46456423252228846,0.39218514786706565
21,Viso,Sete Bicas,743.81,33541,58047,91588,277,312,589,214,231,445,0.29707654134239425,0.46556986631852193,0.3854989425058716
22,Sete Bicas,Sra da Hora,674.5,30469,57428,87897,254,325,579,212,232,444,0.28359135293623783,0.4495901987333863,0.3737537358611305
23,Sra da Hora,Vasco da Gama,824.48,12102,11237,23340,147,193,340,0,0,0,0.3811572687166105,0.2695645020567718,0.31781196293617264
24,Vasco da Gama,Estádio do Mar,661.6,12690,9035,21725,137,215,352,0,0,0,0.4288494946497333,0.19455724398018934,0.2857448529055516
25,Estádio do Mar,Pedro Hispano,786.97,12494,8544,21039,152,227,379,0,0,0,0.380567498526328,0.174259543276787,0.2570004646433576
26,Pedro Hispano,Parque de Real,656.68,11421,7576,18998,150,229,379,0,0,0,0.3525282236429387,0.15317092039907795,0.23207222775152941
27,Parque de Real,C. Matosinhos,723.67,10534,6751,17285,150,191,341,0,0,0,0.3251270572298563,0.16364810843869362,0.2346799040946303
28,C. Matosinhos,Matosinhos Sul,616.61,7226,4837,12064,147,187,334,0,0,0,0.22758621907902066,0.1197728055125852,0.1672236192678727
29,Matosinhos Sul,Brito Capelo,535.72,2746,3188,5935,131,188,319,0,0,0,0.0970693618155679,0.07851948768352919,0.08613714759355137
30,Brito Capelo,Mercado,487.53,1238,2194,3432,119,208,327,0,0,0,0.048178511688294345,0.04883444957666788,0.04859574435123531
31,Mercado,Sr. de Matosinhos,708.96,307,587,895,140,208,348,0,0,0,0.010180134470216921,0.013087606837606508,0.01191793404612794
33,Fonte do Cuco,Custoias,689.2,9763,28415,38179,42,42,84,129,163,292,0.23777101030163342,0.5740954171064521,0.42159071921518587
34,Custoias,Esposade,1779.24,9602,27790,37393,42,42,84,129,167,296,0.23383627515940583,0.5504443747066672,0.4084355163550338
35,Esposade,Crestins,2035.56,9446,27417,36863,42,42,84,127,167,294,0.23284956700977394,0.5430506417346482,0.40484736902951396
36,Crestins,Verdes,591.8199999999999,9006,26894,35900,42,42,84,110,167,277,0.2477450476904425,0.5326875043521914,0.4134080457551405
37,Verdes,Pedras Rubras,960.78,6251,24452,30703,0,0,0,110,197,307,0.22916485554165006,0.5004988042446803,0.403278171158904
38,Pedras Rubras,Lidador,1147.58,5521,21428,26949,0,0,0,110,199,309,0.2023934297840394,0.43418870628998424,0.3516725884399715
39,Lidador,Vilar do Pinheiro,1987.51,5370,20649,26019,0,0,0,110,199,309,0.1968535314176614,0.4184086883983948,0.33953792054117576
40,Vilar do Pinheiro,Modivas Sul,2037.38,5364,19930,25295,0,0,0,110,191,301,0.19665678428803185,0.42075460650540014,0.33885839240602966
41,Modivas Sul,Modivas Centro,1051.08,5372,19683,25056,0,0,0,110,183,293,0.1969473645760654,0.4337110176297429,0.34482363935020527
42,Modivas Centro,Modivas Norte,852.51,5622,19478,25101,0,0,0,108,183,291,0.209938033110301,0.4291985588784677,0.34782351838718933
43,Modivas Norte,Mindelo,1834.12,5391,18461,23852,0,0,0,108,183,291,0.20129754274096642,0.4067772116271236,0.33051671595803434
44,Mindelo,Espaço Natureza,776.86,5172,17207,22379,0,0,0,108,183,291,0.19310575161682791,0.37914711468816714,0.31010083561014434
45,Espaço Natureza,Varziela,1539.0,4836,17282,22119,0,0,0,108,183,291,0.1805865598767428,0.3808023377716423,0.3064954511302363
46,Varziela,Árvore,858.71,4300,15803,20103,0,0,0,108,183,291,0.16056350488997276,0.34821012462372236,0.27856808018645446
47,Árvore,Azurara,664.57,4405,15580,19985,0,0,0,106,183,289,0.16759548873996752,0.3432971217498823,0.27885292417531143
48,Azurara,Santa Clara,1218.09,4396,15319,19715,0,0,0,92,181,273,0.1926852962779338,0.34127349549574726,0.2911998166384621
49,Santa Clara,Vila do Conde,670.57,3775,15059,18835,0,0,0,68,183,251,0.22390706537901842,0.3318234807113651,0.3025871610197333
50,Vila do Conde,Alto de Pega,730.41,2439,11690,14129,0,0,0,68,183,251,0.144673201711818,0.2575820879204392,0.22699322631810356
51,Alto de Pega,Portas Fronhas,671.05,2180,11404,13584,0,0,0,70,183,253,0.12558749282561096,0.2512935783215267,0.21651323846099665
52,Portas Fronhas,São Brás,562.21,1939,8368,10308,0,0,0,66,183,249,0.11850677775730656,0.18439535798024217,0.16693091502958454
